name,review_count,categories,rating,coordinates,price,phone,address
Tea Hut,4,"['cafe', 'point_of_interest', 'food', 'establishment']",4.8,"37.6015989,-122.3913904",,(650) 455-9589,"325 El Camino Real, Millbrae, CA 94030, USA"
Lilikoi Boba,0,"['cafe', 'food', 'point_of_interest', 'establishment']",0,"37.578391,-122.3467314",,(650) 781-3908,"240 Park Rd, Burlingame, CA 94010, USA"
Bobabia,118,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.5671917,-122.3254694",$,(650) 389-7077,"271 Baldwin Ave, San Mateo, CA 94401, USA"
Quickly,84,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,"37.5444133,-122.2706263",$,(650) 293-0160,"969K Edgewater Blvd, Foster City, CA 94404, USA"
T4,313,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.6009976,-122.392111",$,(650) 302-4755,"315 Broadway, Millbrae, CA 94032, USA"
Sunright Tea Studio - Burlingame,6,"['cafe', 'point_of_interest', 'food', 'establishment']",5,"37.58007370000001,-122.346656",,(650) 437-2959,"346 Lorton Ave, Burlingame, CA 94010, USA"
Nightcap Tea,0,"['cafe', 'point_of_interest', 'food', 'establishment']",0,"37.5477207,-122.3083157",,,"66 21st Ave, San Mateo, CA 94403, USA"
Boba Bliss,202,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.7,"37.401487,-122.1131052",$,(650) 383-5512,"685 San Antonio Rd Suite 15, Mountain View, CA 94040, USA"
Tong Sui Desserts & Drinks (Palo Alto),24,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.4452471,-122.1609897",,(650) 847-1598,"540 Bryant St, Palo Alto, CA 94301, USA"
Bobalicious,177,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,"37.4866363,-122.2293705",$,(650) 298-8268,"2202 Broadway, Redwood City, CA 94063, USA"
WanPo Tea Shop,13,"['cafe', 'food', 'point_of_interest', 'establishment']",4.8,"37.6061843,-122.3978774",,(628) 228-8007,"1069 El Camino Real, Millbrae, CA 94030, USA"
Eggettes,235,"['cafe', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.3,"37.6491699,-122.4301495",$,(650) 266-9919,"639 El Camino Real, South San Francisco, CA 94080, USA"
Tiger Tea & Juice San Mateo,0,"['cafe', 'food', 'point_of_interest', 'establishment']",0,"37.5651029,-122.322823",,,"212 E 3rd Ave, San Mateo, CA 94401, USA"
Gong Cha,223,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.33975179999999,-122.0425399",$,(408) 685-2991,"1641 Hollenbeck Ave, Sunnyvale, CA 94087, USA"
Suncha,55,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.3609907,-121.8989404",$,(669) 289-9200,"336 Commercial St, San Jose, CA 95112, USA"
Sharetea,272,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.3624119,-122.0272373",$,(669) 246-5050,"568 El Camino Real ste a, Sunnyvale, CA 94087, USA"
Mr. Green Bubble | Fremont,323,"['cafe', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4,"37.5002778,-121.9738889",$,(510) 770-9478,"43743 Boscell Rd, Fremont, CA 94538, USA"
OMG Tea,283,"['cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",4.3,"37.3483367,-121.9459311",$,(408) 320-2436,"1171 Homestead Rd Suite 115, Santa Clara, CA 95050, USA"
Tan-Cha,100,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.3382305,-121.9743726",$,(408) 642-1384,"2706 Homestead Rd, Santa Clara, CA 95051, USA"
Gong Cha,80,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.2497079,-121.8790925",$,(408) 440-1338,"1180 Blossom Hill Rd #3, San Jose, CA 95118, USA"
Kung Fu Tea,100,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,"37.3197573,-121.9748742",$,(408) 477-2688,"457 Saratoga Ave, San Jose, CA 95129, USA"
Sharetea,307,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.3875213,-121.8828791",$,(408) 837-1920,"1728 Hostetter Rd STE 30, San Jose, CA 95131, USA"
Gong Cha,91,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.3816968,-121.9748852",$,(408) 606-8956,"2712 Augustine Dr #110, Santa Clara, CA 95054, USA"
Mr. Sun Tea Cupertino,138,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.3226704,-122.0405224",$,(408) 217-8859,"20950 Stevens Creek Blvd, Cupertino, CA 95014, USA"
Happy Lemon Premier,668,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.36195,-122.0245167",$,(669) 600-3168,"605 E El Camino Real, Sunnyvale, CA 94087, USA"
Chun Yang Tea,86,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.3735957,-121.9994804",,(408) 743-5088,"1120 Kifer Rd Suite C, Sunnyvale, CA 94086, USA"
Yoko Tea,119,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.3517731,-121.9820756",$,(408) 380-4348,"3074 El Camino Real, Santa Clara, CA 95051, USA"
Gong Cha,315,"['cafe', 'point_of_interest', 'food', 'establishment']",4.2,"37.3871502,-121.88752",$,(408) 436-8366,"1701 Lundy Ave, San Jose, CA 95131, USA"
Tea Era,670,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.3929293,-122.0792228",$,(650) 969-2899,"271 Castro St, Mountain View, CA 94041, USA"
Pekoe,179,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.37381209999999,-121.8722445",,(408) 684-4109,"996 Lundy Ave, San Jose, CA 95133, USA"
Gong Cha - Downtown San Jose,217,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.2,"37.3336713,-121.8847406",$,(408) 207-7740,"140 Paseo de San Antonio, San Jose, CA 95112, USA"
Sharetea,277,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.3259139,-121.9442604",$,(408) 785-1992,"2855 Stevens Creek Blvd, San Jose, CA 95128, USA"
Tea Era,722,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,"37.3371907,-122.0403634",$,(408) 996-9898,"20916 Homestead Rd, Cupertino, CA 95014, USA"
Yi Fang Taiwan Fruit Tea,97,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.394429,-122.0782705",,,"143 Castro St, Mountain View, CA 94041, USA"
Tea Alley,97,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.3354411,-121.8898527",$,(408) 217-9486,"40 S 1st St, San Jose, CA 95113, USA"
Tiger Sugar San Jose,45,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.3871615,-121.885334",,(408) 217-9755,"1628 Hostetter Rd Suite H, San Jose, CA 95131, USA"
Gong Cha,187,"['cafe', 'food', 'point_of_interest', 'establishment']",3.9,"37.2924814,-121.9888133",$,(408) 680-0581,"1600 Saratoga Ave #115, San Jose, CA 95129, USA"
Tastea Berryessa,443,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.2,"37.3876548,-121.860188",$,(408) 503-6347,"1160 N Capitol Ave, San Jose, CA 95132, USA"
CoCo Fresh Tea & Juice,85,"['cafe', 'point_of_interest', 'food', 'establishment']",4,"37.3251193,-121.9440633",$$,(408) 217-8116,"2855 Stevens Creek Blvd, Santa Clara, CA 95050, USA"
Mr. Sun Tea Mountain View,80,"['cafe', 'point_of_interest', 'food', 'establishment']",3.9,"37.3855811,-122.0842677",$,(650) 386-6537,"801 W El Camino Real A, Mountain View, CA 94040, USA"
FENG CHA TEA HOUSE,64,"['cafe', 'point_of_interest', 'food', 'establishment']",4.3,"37.4337074,-121.8976654",$,(669) 263-6350,"489 E Calaveras Blvd, Milpitas, CA 95035, USA"
Gong Cha,105,"['cafe', 'point_of_interest', 'food', 'establishment']",3.7,"37.4224601,-121.9167403",$,(408) 428-9360,"372 Barber Ct, Milpitas, CA 95035, USA"
Tea Plus,90,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.3449649,-121.9344006",$,(408) 320-2017,"2421 The Alameda, Santa Clara, CA 95050, USA"
Lucky Tea,62,"['cafe', 'point_of_interest', 'food', 'establishment']",3.7,"37.3252844,-121.9472239",,(408) 606-8338,"Second floor adjacent to ICON theater, 2855 Stevens Creek Blvd #2170, Santa Clara, CA 95050, USA"
Happy Lemon,288,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.3362519,-122.0152063",$,(415) 813-0195,"10963 N Wolfe Rd, Cupertino, CA 95014, USA"
Tiger Sugar Cupertino,221,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.32235,-122.0167292",,(408) 352-5218,"19620 Stevens Creek Blvd #180, Cupertino, CA 95014, USA"
Happy Lemon,470,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.3223001,-122.0313142",$,(408) 216-0232,"20488 Stevens Creek Blvd #2040, Cupertino, CA 95014, USA"
Ding Tea House,187,"['cafe', 'point_of_interest', 'food', 'establishment']",4.3,"37.2930222,-121.8331657",$,(408) 300-1232,"3151 Senter Rd Suite# 120, San Jose, CA 95111, USA"
TP TEA Cupertino,916,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.3112499,-122.0236393",$,,"10787 S Blaney Ave, Cupertino, CA 95014, USA"
Breaktime Tea - Campbell,80,"['cafe', 'meal_takeaway', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",4.6,"37.2871601,-121.9465028",$,(408) 429-8955,"199 E Campbell Ave, Campbell, CA 95008, USA"
Ume Tea,142,"['cafe', 'food', 'point_of_interest', 'establishment']",3.9,"37.4237312,-121.9178552",$,(408) 649-3371,"272 Barber Ct, Milpitas, CA 95035, USA"
Teahee,114,"['cafe', 'point_of_interest', 'food', 'establishment']",3.9,"37.3311167,-121.8573369",,(408) 642-5978,"979 Story Rd #7012, San Jose, CA 95122, USA"
Milk Tea Lab,88,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.3514594,-121.8717155",,(408) 564-0477,"1175 E Julian St Ste 40, San Jose, CA 95116, USA"
Tastea Evergreen,185,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.315323,-121.793377",$,(408) 503-6364,"3247 S White Rd, San Jose, CA 95148, USA"
RareTea,43,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4,"37.3369331,-122.040307",$,(408) 777-9899,"20956 Homestead Rd D, Cupertino, CA 95014, USA"
TaoTaoTea,112,"['cafe', 'point_of_interest', 'food', 'establishment']",4.7,"37.2917354,-121.9941045",$,(408) 406-6780,"18472 Prospect Rd, Saratoga, CA 95070, USA"
Teasociety,196,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.4339541,-121.9017349",$,(408) 708-4772,"55 N Milpitas Blvd, Milpitas, CA 95035, USA"
Tisane,332,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.3308393,-121.8106657",$,(408) 833-9790,"2980 E Capitol Expy Unit 50, San Jose, CA 95148, USA"
Milk Tea Lab,209,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.2533702,-121.9031693",$,(408) 440-2208,"1601 Branham Ln #10, San Jose, CA 95118, USA"
Quickly,156,"['cafe', 'point_of_interest', 'food', 'establishment']",3.5,"37.417615,-121.8744037",$,(408) 934-1521,"1350 S Park Victoria Dr # 30, Milpitas, CA 95035, USA"
Tea Villa,26,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.3249591,-121.8146234",,(408) 223-1823,"2200 Eastridge Loop Space 9212, San Jose, CA 95122, USA"
2ktea lounge,36,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.4041552,-121.8819837",$,(408) 708-7995,"2671 Cropley Ave, San Jose, CA 95132, USA"
Tapioca Express,157,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.3030209,-121.8647407",$,(408) 999-0128,"81 Curtner Ave #40, San Jose, CA 95125, USA"
Boba Galaxy,72,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.4069825,-121.8873679",$$,(408) 649-3636,"2090 N Capitol Ave C, San Jose, CA 95132, USA"
Fantasia Coffee & Tea,403,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.3359882,-122.0159441",$,(408) 865-1689,"10933 N Wolfe Rd, Cupertino, CA 95014, USA"
Tastea Communications Hill,128,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.2751846,-121.8516212",$,(408) 622-4615,"509 W Capitol Expy, San Jose, CA 95136, USA"
BABO BOBA,25,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.3247237,-121.9692231",,(408) 320-2677,"70 Saratoga Ave # 101, Santa Clara, CA 95051, USA"
Teasociety San Jose,212,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.3064883,-121.8108337",$,(408) 440-0793,"1658 E Capitol Expy, San Jose, CA 95121, USA"
Teacub Boba & Snack,108,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.37874370000001,-122.0708606",,(650) 386-1666,"175C El Camino Real, Mountain View, CA 94040, USA"
Breaktime Tea - San Jose,238,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,"37.3354185,-121.8865497",$,(408) 286-2000,"110 E San Fernando St, San Jose, CA 95112, USA"
Teaspoon,823,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.3153391,-121.9781093",$,(408) 216-9794,"4328 Moorpark Ave, San Jose, CA 95129, USA"
Ume Tea,41,"['cafe', 'point_of_interest', 'food', 'establishment']",3.8,"37.3936622,-122.0794502",,(650) 282-5295,"220 Castro St, Mountain View, CA 94041, USA"
Wanpo Tea Shop,71,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.3236794,-122.0069328",$,(669) 600-1289,"19319 Stevens Creek Blvd, Cupertino, CA 95014, USA"
QTea,79,"['cafe', 'food', 'point_of_interest', 'establishment']",4.8,"37.7033868,-121.865988",,(925) 999-8172,"4064 Grafton St, Dublin, CA 94568, USA"
Mr. Sun Tea Fremont,108,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5197027,-121.9877376",$,(510) 573-2326,"40526 Albrae St, Fremont, CA 94538, USA"
Sharetea San Leandro,193,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.6875334,-122.1361467",$,(510) 990-0118,"699 Lewelling Blvd #264, San Leandro, CA 94579, USA"
TOCOTEA.UNION CITY,18,"['cafe', 'food', 'point_of_interest', 'establishment']",3.8,"37.5979286,-122.069454",,(510) 952-9435,"32360 Dyer St, Union City, CA 94587, USA"
Sharetea Hayward,105,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.6526673,-122.1046949",$,(510) 255-1881,"24351 Southland Dr, Hayward, CA 94545, USA"
Royal Tea USA,217,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5510435,-121.9936417",$,(510) 818-0618,"38509 Fremont Blvd, Fremont, CA 94536, USA"
Tea For Fremont,299,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4,"37.5630703,-122.0152937",$,(510) 797-2182,"36400 Fremont Blvd, Fremont, CA 94536, USA"
Ume Tea,100,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.5192656,-121.9897608",$,(510) 573-3479,"6018 Stevenson Blvd, Fremont, CA 94538, USA"
99 Tea House - ChaChaCha,124,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5631579,-122.0100983",$,(510) 509-2315,"3623 Thornton Ave, Fremont, CA 94536, USA"
Boba X,181,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.7104651,-121.9275197",$,(510) 945-8028,"7375 Amador Valley Blvd #110, Dublin, CA 94568, USA"
Sana Tea and Dessert,32,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.5,"37.5627691,-122.0147969",,,"36476 Fremont Blvd, Fremont, CA 94536, USA"
Ume Tea,34,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.5507204,-122.05101",$,(510) 358-2682,"34925 Newark Blvd, Newark, CA 94560, USA"
Ume Tea Dublin,74,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.7060156,-121.9330589",$,(925) 216-2897,"7265 Regional St, Dublin, CA 94568, USA"
T4 Tea For U.,276,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.6731454,-122.0820605",$,(510) 398-8777,"1033 B St, Hayward, CA 94541, USA"
Mr. Green Bubble | Union City,259,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.1,"37.5895461,-122.019881",$,(510) 400-3145,"1644 Decoto Rd, Union City, CA 94587, USA"
Gong cha,39,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.6962127,-121.8448193",$,(925) 583-5509,"3046 W Jack London Blvd, Livermore, CA 94551, USA"
Joy4Tea,99,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.5895468,-122.0674646",,(510) 400-3167,"32148 Alvarado Blvd, Union City, CA 94587, USA"
Hay Tea,76,"['cafe', 'point_of_interest', 'food', 'establishment']",4.2,"37.6977943,-122.1302519",,(510) 274-5344,"15251 Hesperian Blvd, San Leandro, CA 94578, USA"
Tea Heart,46,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.4,"37.7044869,-121.8753549",,(925) 248-2062,"4288 Dublin Blvd Ste104, Dublin, CA 94568, USA"
Happy Lemon,191,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.6907057,-121.8779664",,(925) 201-3898,"3150 Santa Rita Rd suite b, Pleasanton, CA 94566, USA"
Tea Top 台灣第一味,126,"['cafe', 'point_of_interest', 'food', 'establishment']",4.5,"37.5224201,-122.0040057",$,(510) 894-2832,"39269 Cedar Blvd #5007, Newark, CA 94560, USA"
Tastea Newark,87,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.5253324,-122.0063671",$,(510) 565-1107,"5970 Mowry Ave Suite N, Newark, CA 94560, USA"
Happy Lemon,186,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.6877662,-122.1376735",$,(510) 918-3685,"699 Lewelling Blvd Ste 35, San Leandro, CA 94579, USA"
Tata Teahouse,122,"['cafe', 'food', 'point_of_interest', 'establishment']",3.6,"37.5437592,-121.9868351",$,(510) 739-3880,"39230 Argonaut Way, Fremont, CA 94538, USA"
